seed,test_id,reset_model,result,observed_expected_counterexample,unexpected_failure,observed,classification,replay_cmd,notes
60,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
61,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
62,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
63,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
64,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
65,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
66,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
67,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
68,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
69,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
70,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
71,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
72,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
73,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
74,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
75,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
76,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
77,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
78,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
79,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
80,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
