seed,reset_model,cpu_release,dma_release,iopmp_release,sec_release,ic_release,early_dma_result,result,classification,observed,observed_expected_counterexample,unexpected_failure,replay
161,RST-B,23,28,33,38,10,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=23 +REL_DMA=28 +REL_IOPMP=33 +REL_SEC=38 +REL_IC=10 +C5_TEST=200
162,RST-A,11,23,35,14,26,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=11 +REL_DMA=23 +REL_IOPMP=35 +REL_SEC=14 +REL_IC=26 +C5_TEST=200
163,RST-B,32,18,37,23,9,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=32 +REL_DMA=18 +REL_IOPMP=37 +REL_SEC=23 +REL_IC=9 +C5_TEST=200
164,RST-A,20,13,39,32,25,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=20 +REL_DMA=13 +REL_IOPMP=39 +REL_SEC=32 +REL_IC=25 +C5_TEST=200
165,RST-B,8,8,8,8,8,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=8 +REL_DMA=8 +REL_IOPMP=8 +REL_SEC=8 +REL_IC=8 +C5_TEST=200
166,RST-A,29,36,10,17,24,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=29 +REL_DMA=36 +REL_IOPMP=10 +REL_SEC=17 +REL_IC=24 +C5_TEST=200
167,RST-B,17,31,12,26,40,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=17 +REL_DMA=31 +REL_IOPMP=12 +REL_SEC=26 +REL_IC=40 +C5_TEST=200
168,RST-A,38,26,14,35,23,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=38 +REL_DMA=26 +REL_IOPMP=14 +REL_SEC=35 +REL_IC=23 +C5_TEST=200
169,RST-B,26,21,16,11,39,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=26 +REL_DMA=21 +REL_IOPMP=16 +REL_SEC=11 +REL_IC=39 +C5_TEST=200
170,RST-A,14,16,18,20,22,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=14 +REL_DMA=16 +REL_IOPMP=18 +REL_SEC=20 +REL_IC=22 +C5_TEST=200
171,RST-B,35,11,20,29,38,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=35 +REL_DMA=11 +REL_IOPMP=20 +REL_SEC=29 +REL_IC=38 +C5_TEST=200
