seed,nsaid,address,operation,configured,observed,bresp,rresp,memory_effect
55,9,0x000000002000005a,write,1,DENY,2,, 0
55,10,0x0000000020000067,read,1,DENY,,2,0
55,11,0x0000000020000074,write,0,DENY,2,, 0
55,12,0x0000000020000081,read,1,DENY,,2,0
55,13,0x000000002000008e,write,1,DENY,2,, 0
55,14,0x000000002000009b,read,0,DENY,,2,0
55,15,0x00000000200000a8,write,1,DENY,2,, 0
55,0,0x00000000200000b5,read,1,DENY,,2,0
55,1,0x00000000200000c2,write,0,DENY,2,, 0
55,2,0x00000000200000cf,read,1,DENY,,2,0
55,3,0x00000000200000dc,write,1,DENY,2,, 0
55,4,0x00000000200000e9,read,0,DENY,,2,0
55,5,0x00000000200000f6,write,1,DENY,2,, 0
55,6,0x0000000020000003,read,1,DENY,,2,0
55,7,0x0000000020000010,write,0,DENY,2,, 0
55,8,0x000000002000001d,read,1,DENY,,2,0
55,9,0x000000002000002a,write,1,DENY,2,, 0
55,10,0x0000000020000037,read,0,DENY,,2,0
55,11,0x0000000020000044,write,1,DENY,2,, 0
55,12,0x0000000020000051,read,1,DENY,,2,0
55,13,0x000000002000005e,write,0,DENY,2,, 0
55,14,0x000000002000006b,read,1,DENY,,2,0
55,15,0x0000000020000078,write,1,DENY,2,, 0
55,0,0x0000000020000085,read,0,DENY,,2,0
55,1,0x0000000020000092,write,1,DENY,2,, 0
55,2,0x000000002000009f,read,1,DENY,,2,0
55,3,0x00000000200000ac,write,0,DENY,2,, 0
55,4,0x00000000200000b9,read,1,DENY,,2,0
55,5,0x00000000200000c6,write,1,DENY,2,, 0
55,6,0x00000000200000d3,read,0,DENY,,2,0
55,7,0x00000000200000e0,write,1,DENY,2,, 0
55,8,0x00000000200000ed,read,1,DENY,,2,0
55,9,0x00000000200000fa,write,0,DENY,2,, 0
55,10,0x0000000020000007,read,1,DENY,,2,0
55,11,0x0000000020000014,write,1,DENY,2,, 0
55,12,0x0000000020000021,read,0,DENY,,2,0
55,13,0x000000002000002e,write,1,DENY,2,, 0
55,14,0x000000002000003b,read,1,DENY,,2,0
55,15,0x0000000020000048,write,0,DENY,2,, 0
55,0,0x0000000020000055,read,1,DENY,,2,0
55,1,0x0000000020000062,write,1,DENY,2,, 0
55,2,0x000000002000006f,read,0,DENY,,2,0
55,3,0x000000002000007c,write,1,DENY,2,, 0
55,4,0x0000000020000089,read,1,DENY,,2,0
55,5,0x0000000020000096,write,0,DENY,2,, 0
55,6,0x00000000200000a3,read,1,DENY,,2,0
55,7,0x00000000200000b0,write,1,DENY,2,, 0
55,8,0x00000000200000bd,read,0,DENY,,2,0
55,9,0x00000000200000ca,write,1,DENY,2,, 0
55,10,0x00000000200000d7,read,1,DENY,,2,0
55,11,0x00000000200000e4,write,0,DENY,2,, 0
55,12,0x00000000200000f1,read,1,DENY,,2,0
55,13,0x00000000200000fe,write,1,DENY,2,, 0
55,14,0x000000002000000b,read,0,DENY,,2,0
55,15,0x0000000020000018,write,1,DENY,2,, 0
55,0,0x0000000020000025,read,1,DENY,,2,0
55,1,0x0000000020000032,write,0,DENY,2,, 0
55,2,0x000000002000003f,read,1,DENY,,2,0
55,3,0x000000002000004c,write,1,DENY,2,, 0
55,4,0x0000000020000059,read,0,DENY,,2,0
